feature,coefficient,absolute_coefficient
NUFIP2 (57532),2.658863186878352e-05,2.658863186878352e-05
EP300 (2033),2.6534515484903095e-05,2.6534515484903095e-05
RGMB (285704),-2.65042632712114e-05,2.65042632712114e-05
ERBB3 (2065),2.6482687735381104e-05,2.6482687735381104e-05
PDCD1LG2 (80380),-2.6482376752896375e-05,2.6482376752896375e-05
H3C13 (653604),2.6469757318922864e-05,2.6469757318922864e-05
ITGB7 (3695),2.6468354806591115e-05,2.6468354806591115e-05
KIF16B (55614),2.6458481434273615e-05,2.6458481434273615e-05
AOX1 (316),-2.6439003005022262e-05,2.6439003005022262e-05
FAM47E (100129583),2.6321133651674933e-05,2.6321133651674933e-05
XRCC4 (7518),-2.6259852165594092e-05,2.6259852165594092e-05
MCRIP1 (348262),-2.6258643923147078e-05,2.6258643923147078e-05
TSPAN33 (340348),2.6248802158262154e-05,2.6248802158262154e-05
ZBTB32 (27033),2.6229815973477218e-05,2.6229815973477218e-05
FGFR4 (2264),2.6219116813178926e-05,2.6219116813178926e-05
HDAC4 (9759),2.620423566167865e-05,2.620423566167865e-05
SCRN1 (9805),-2.6184665892839518e-05,2.6184665892839518e-05
UAP1 (6675),-2.616261882804538e-05,2.616261882804538e-05
AKR1C4 (1109),2.6124380037489555e-05,2.6124380037489555e-05
TRIM15 (89870),2.6096568288900684e-05,2.6096568288900684e-05
